Hardcoded Text Found In Code,Existing Translation Key(s) To Use Instead,Files Containing This Hardcoded Text
Please start the password reset process again.,auth.verifyResetPage.formSubtitleFallback,src/app/pages/VerifyReset.tsx
Price,dashboard.products.price; dashboard.inventory.price,src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/Products.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
Product,dashboard.inventory.product,src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/Orders.tsx; src/app/pages/dashboard/Products.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
Product Name,dashboard.products.productName,src/app/pages/dashboard/Products.tsx
Qty,dashboard.invoice.qty,src/app/pages/dashboard/Orders.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
Quantity,dashboard.inventory.quantity; dashboard.purchaseOrders.quantity,src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
"Quantity (positive to add, negative to remove)",dashboard.inventory.quantityPositiveAddNegativeRemove,src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/Products.tsx
Read Time,dashboard.blog.readTime,src/app/pages/dashboard/Blog.tsx
Reason,dashboard.inventory.reason,src/app/pages/dashboard/Customers.tsx; src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/Products.tsx
Received,dashboard.inventory.received; dashboard.purchaseOrders.received,src/app/pages/dashboard/Inventory.tsx
Received Date,dashboard.inventory.receivedDate,src/app/pages/dashboard/Inventory.tsx
Recent Orders,dashboard.home.recentOrders,src/app/pages/dashboard/Analytics.tsx
Rejected,dashboard.reviews.rejected,src/app/pages/dashboard/Reviews.tsx
Role,dashboard.adminUsers.role; dashboard.adminUsers.roleLabel,src/app/pages/dashboard/AdminUsers.tsx
SKU,dashboard.products.sku,src/app/pages/dashboard/Products.tsx
Search admin users...,dashboard.adminUsers.searchAdminUsers,src/app/pages/dashboard/AdminUsers.tsx
Search posts...,dashboard.blog.searchPosts,src/app/pages/dashboard/Blog.tsx
Search products...,dashboard.products.searchProducts; dashboard.inventory.searchProducts,src/app/pages/dashboard/CollectionsAdmin.tsx; src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/Products.tsx
Select product,dashboard.purchaseOrders.selectProduct,src/app/pages/dashboard/PurchaseOrders.tsx
Sign in,auth.login.submit; auth.page.formTitleLogin; auth.page.tabSignIn; auth.page.switchToLogin; auth.forgotPage.signIn,src/app/pages/Login.tsx
Signing in...,auth.login.submitting,src/app/pages/Login.tsx
Slug (auto-generated),dashboard.blog.slug,src/app/pages/dashboard/Blog.tsx
Status,dashboard.products.status; dashboard.products.statusLabel; dashboard.inventory.status; dashboard.purchaseOrders.status,src/app/pages/dashboard/Analytics.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/HeroVisuals.tsx; src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/ProductLines.tsx; src/app/pages/dashboard/Products.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
Stock,dashboard.products.stock; dashboard.inventory.stock,src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/Products.tsx
Stock Status Overview,dashboard.inventory.stockStatusOverview,src/app/pages/dashboard/Inventory.tsx
Store Information,dashboard.settings.storeInfo; dashboard.settings.storeInformation.title,src/app/pages/dashboard/Settings.tsx
Store Name,dashboard.settings.storeName; dashboard.settings.storeInformation.storeName,src/app/pages/dashboard/Settings.tsx
Subtotal,dashboard.invoice.subtotal,src/app/pages/Cart.tsx; src/app/pages/Checkout.tsx; src/app/pages/OrderConfirmed.tsx; src/app/pages/dashboard/Orders.tsx
Super Admin,dashboard.adminUsers.superAdmin,src/app/pages/dashboard/AdminUsers.tsx
Supplier,dashboard.inventory.supplier; dashboard.purchaseOrders.supplier,src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
Supplier (Optional),dashboard.inventory.supplierOptional,src/app/pages/dashboard/Inventory.tsx
Supplier name,dashboard.purchaseOrders.enterSupplier,src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
Tax,dashboard.invoice.tax,src/app/pages/OrderConfirmed.tsx
Tax Rate (%),dashboard.settings.storeInformation.taxRate,src/app/pages/dashboard/Settings.tsx
Time,dashboard.invoice.time,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
Time Zone,dashboard.settings.localization.timeZone,src/app/pages/dashboard/Settings.tsx
Top selling products,dashboard.home.topSellingProducts,src/app/pages/dashboard/Analytics.tsx
Total,dashboard.invoice.total; dashboard.purchaseOrders.total,src/app/pages/Cart.tsx; src/app/pages/Checkout.tsx; src/app/pages/CustomerAccount.tsx; src/app/pages/OrderConfirmed.tsx; src/app/pages/dashboard/Analytics.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
Total Spent,dashboard.customers.totalSpent,src/app/pages/dashboard/Customers.tsx
Track and manage your tea inventory,dashboard.inventory.subtitle,src/app/pages/dashboard/Inventory.tsx
Track inventory batches with expiry dates,dashboard.inventory.trackInventoryBatches,src/app/pages/dashboard/Inventory.tsx
UTC,dashboard.settings.localization.timeZones.utc,src/app/pages/dashboard/Settings.tsx
Unit Price,dashboard.purchaseOrders.unitPrice,src/app/pages/dashboard/Orders.tsx
Usage,dashboard.coupons.usage,src/app/pages/dashboard/Coupons.tsx
Usage Limit,dashboard.coupons.usageLimit,src/app/pages/dashboard/Coupons.tsx
Username,dashboard.adminUsers.username,src/app/pages/dashboard/AdminUsers.tsx
Valid From,dashboard.coupons.validFrom; dashboard.coupons.validFromLabel,src/app/pages/dashboard/Coupons.tsx
Valid To,dashboard.coupons.validTo; dashboard.coupons.validToLabel,src/app/pages/dashboard/Coupons.tsx
Value,dashboard.inventory.value,src/app/pages/dashboard/Inventory.tsx
Wholesale,nav.wholesale,src/app/pages/Contact.tsx
john@example.com,dashboard.customers.emailPlaceholder; auth.signup.emailPlaceholder,src/app/pages/dashboard/Customers.tsx
post-slug,dashboard.blog.enterSlug,src/app/pages/dashboard/Blog.tsx
