New Translation Key,English Source Text,Files To Update (replace hardcoded text with t(key))
common.selectRole,Select role,src/app/pages/dashboard/AdminUsers.tsx
common.selectStatus,Select status,src/app/pages/dashboard/Orders.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
common.shipping,Shipping,src/app/pages/Cart.tsx; src/app/pages/Checkout.tsx; src/app/pages/OrderConfirmed.tsx
common.slug,Slug,src/app/pages/dashboard/ProductLines.tsx
common.sortOrder,Sort Order,src/app/pages/dashboard/HeroVisuals.tsx; src/app/pages/dashboard/ProductLines.tsx
common.subtitleOptional,Subtitle (Optional),src/app/pages/dashboard/HeroVisuals.tsx
common.title,Title,src/app/pages/dashboard/HeroVisuals.tsx
common.titleOptional,Title (Optional),src/app/pages/dashboard/HeroVisuals.tsx
common.type,Type,src/app/pages/dashboard/Inventory.tsx
common.unit,Unit,src/app/pages/dashboard/PurchaseOrders.tsx
common.uploading,Uploading...,src/app/pages/dashboard/Products.tsx; src/app/pages/dashboard/Settings.tsx
contact.faq,FAQ,src/app/pages/Contact.tsx
contact.fields.email,Email,src/app/pages/Contact.tsx; src/app/pages/CustomerAccount.tsx; src/app/pages/dashboard/AdminUsers.tsx; src/app/pages/dashboard/Customers.tsx; src/app/pages/dashboard/Orders.tsx; src/app/pages/dashboard/Settings.tsx
contact.fields.message,Message,src/app/pages/Contact.tsx
contact.fields.name,Name,src/app/pages/Contact.tsx
contact.fields.selectTopic,Select a topic,src/app/pages/Contact.tsx
contact.fields.subject,Subject,src/app/pages/Contact.tsx
contact.responseNote,We'll get back to you as soon as possible.,src/app/pages/Contact.tsx
contact.topics.generalInquiry,General Inquiry,src/app/pages/Contact.tsx
contact.topics.godgiftedDalInquiry,Godgifted Dal Inquiry,src/app/pages/Contact.tsx
contact.topics.himmatTeaInquiry,Himmat Tea Inquiry,src/app/pages/Contact.tsx
contact.topics.orderSupport,Order Support,src/app/pages/Contact.tsx
contact.topics.wholesale,Wholesale,src/app/pages/Contact.tsx
dashboard.adminUsers.accountActive,Account Active,src/app/pages/dashboard/AdminUsers.tsx
dashboard.adminUsers.admin,Admin,src/app/pages/dashboard/AdminUsers.tsx; src/app/pages/dashboard/DashboardLayout.tsx
dashboard.adminUsers.deleteConfirmTitle,Delete Admin User?,src/app/pages/dashboard/AdminUsers.tsx
dashboard.adminUsers.emailPlaceholder,admin@example.com,src/app/pages/dashboard/AdminUsers.tsx
dashboard.adminUsers.manageDesc,Manage admin accounts and permissions,src/app/pages/dashboard/AdminUsers.tsx
dashboard.adminUsers.passwordPlaceholder,Enter password,src/app/pages/dashboard/AdminUsers.tsx
dashboard.adminUsers.role,Role,src/app/pages/dashboard/AdminUsers.tsx
dashboard.adminUsers.searchPlaceholder,Search admin users...,src/app/pages/dashboard/AdminUsers.tsx
dashboard.adminUsers.selectRole,Select role,src/app/pages/dashboard/AdminUsers.tsx
dashboard.adminUsers.superAdmin,Super Admin,src/app/pages/dashboard/AdminUsers.tsx
dashboard.adminUsers.username,Username,src/app/pages/dashboard/AdminUsers.tsx
dashboard.adminUsers.usernamePlaceholder,Enter username,src/app/pages/dashboard/AdminUsers.tsx
dashboard.analytics.date,Date,src/app/pages/dashboard/Analytics.tsx; src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
dashboard.analytics.distributionByStatus,Distribution by status,src/app/pages/dashboard/Analytics.tsx
dashboard.analytics.latest5Orders,Latest 5 orders,src/app/pages/dashboard/Analytics.tsx
dashboard.analytics.orderId,Order ID,src/app/pages/dashboard/Analytics.tsx
dashboard.analytics.orderStatus,Order Status,src/app/pages/dashboard/Analytics.tsx
dashboard.analytics.productPerformance,Product Performance,src/app/pages/dashboard/Analytics.tsx
dashboard.analytics.recentOrders,Recent Orders,src/app/pages/dashboard/Analytics.tsx
dashboard.analytics.revenueTrend,Revenue Trend,src/app/pages/dashboard/Analytics.tsx
dashboard.analytics.revenueTrendDesc,Monthly revenue for the last 6 months,src/app/pages/dashboard/Analytics.tsx
dashboard.analytics.topSellingProducts,Top selling products,src/app/pages/dashboard/Analytics.tsx
dashboard.analytics.trackPerformance,Track your tea business performance,src/app/pages/dashboard/Analytics.tsx
dashboard.blogAdmin.allCategoriesPlaceholder,All Categories,src/app/pages/dashboard/Blog.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/Inventory.tsx
dashboard.blogAdmin.contentJson,Content (JSON),src/app/pages/dashboard/Blog.tsx
dashboard.blogAdmin.deleteConfirm,Delete Post?,src/app/pages/dashboard/Blog.tsx
dashboard.blogAdmin.excerptPlaceholder,Brief description of the post,src/app/pages/dashboard/Blog.tsx
dashboard.blogAdmin.imageUrlPlaceholder,https://...,src/app/pages/dashboard/Blog.tsx; src/app/pages/dashboard/BrewingGuidesAdmin.tsx; src/app/pages/dashboard/CollectionsAdmin.tsx; src/app/pages/dashboard/ProductLines.tsx; src/app/pages/dashboard/Products.tsx
dashboard.blogAdmin.loading,Loading blog posts...,src/app/pages/dashboard/Blog.tsx
dashboard.blogAdmin.manageDesc,Manage your tea blog content,src/app/pages/dashboard/Blog.tsx
dashboard.blogAdmin.noneFound,No blog posts found,src/app/pages/dashboard/Blog.tsx
dashboard.blogAdmin.readTime,Read Time,src/app/pages/dashboard/Blog.tsx
dashboard.blogAdmin.searchPostsPlaceholder,Search posts...,src/app/pages/dashboard/Blog.tsx
dashboard.blogAdmin.slugAutoGenerated,Slug (auto-generated),src/app/pages/dashboard/Blog.tsx
dashboard.blogAdmin.slugPlaceholder,post-slug,src/app/pages/dashboard/Blog.tsx
dashboard.blogAdmin.titlePlaceholder,Blog post title,src/app/pages/dashboard/Blog.tsx
dashboard.brewingGuides.activeVisible,Active (Visible),src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.allTeaTypes,All Tea Types,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.deleteConfirm,Delete Brewing Guide?,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.excerptPlaceholder,A short summary of this brewing guide...,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.imageUrlPlaceholder,https://...,src/app/pages/dashboard/Blog.tsx; src/app/pages/dashboard/BrewingGuidesAdmin.tsx; src/app/pages/dashboard/CollectionsAdmin.tsx; src/app/pages/dashboard/ProductLines.tsx; src/app/pages/dashboard/Products.tsx
dashboard.brewingGuides.leafQuantity,Leaf Quantity,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.leaves,Leaves,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.manageDesc,Manage tea brewing instructions and guides,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.noneFound,No brewing guides found,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.noneFoundDesc,Create your first guide to help customers brew the perfect cup,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.selectTeaType,Select tea type,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.slugPlaceholder,brew-darjeeling,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.steepingTime,Steeping Time,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.teaType,Tea Type,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.temp,Temp,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.time,Time,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.titlePlaceholder,How to Brew Perfect Darjeeling,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.brewingGuides.waterTemperature,Water Temperature,src/app/pages/dashboard/BrewingGuidesAdmin.tsx
dashboard.collections.deleteConfirm,Delete Collection?,src/app/pages/dashboard/CollectionsAdmin.tsx
dashboard.collections.descPlaceholder,Describe this collection...,src/app/pages/dashboard/CollectionsAdmin.tsx
dashboard.collections.groupDesc,Group products into curated collections,src/app/pages/dashboard/CollectionsAdmin.tsx
dashboard.collections.imageUrlPlaceholder,https://...,src/app/pages/dashboard/Blog.tsx; src/app/pages/dashboard/BrewingGuidesAdmin.tsx; src/app/pages/dashboard/CollectionsAdmin.tsx; src/app/pages/dashboard/ProductLines.tsx; src/app/pages/dashboard/Products.tsx
dashboard.collections.namePlaceholder,Summer Favorites,src/app/pages/dashboard/CollectionsAdmin.tsx
dashboard.collections.noneFound,No collections found,src/app/pages/dashboard/CollectionsAdmin.tsx
dashboard.collections.noneFoundDesc,Create your first collection to group related products together,src/app/pages/dashboard/CollectionsAdmin.tsx
dashboard.collections.searchProductsPlaceholder,Search products...,src/app/pages/dashboard/CollectionsAdmin.tsx; src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/Products.tsx
dashboard.collections.slugPlaceholder,summer-favorites,src/app/pages/dashboard/CollectionsAdmin.tsx
dashboard.coupons.active,Active,src/app/pages/dashboard/Coupons.tsx; src/app/pages/dashboard/HeroVisuals.tsx; src/app/pages/dashboard/ProductLines.tsx
dashboard.coupons.code,Coupon Code,src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.codePlaceholder,"e.g., WELCOME10",src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.copyCode,Copy code,src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.deleteConfirm,Delete Coupon?,src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.discountType,Discount Type,src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.expired,Expired,src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.fixedAmount,Fixed Amount,src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.inactive,Inactive,src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.limitReached,Limit Reached,src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.manageDesc,Create and manage discount coupons,src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.maxDiscountColumn,Max Discount,src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.noneYet,No coupons yet. Create your first one!,src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.percentage,Percentage,src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.usage,Usage,src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.usageLimit,Usage Limit,src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.validFrom,Valid From,src/app/pages/dashboard/Coupons.tsx
dashboard.coupons.validTo,Valid To,src/app/pages/dashboard/Coupons.tsx
dashboard.customers.address,Address,src/app/pages/CustomerAccount.tsx; src/app/pages/dashboard/Customers.tsx
dashboard.customers.deleteConfirm,Delete Customer?,src/app/pages/dashboard/Customers.tsx
dashboard.customers.detailHistoryDesc,Customer details and order history,src/app/pages/dashboard/Customers.tsx
dashboard.customers.emailPlaceholder,john@example.com,src/app/pages/dashboard/Customers.tsx
dashboard.customers.enterPoints,Enter points,src/app/pages/dashboard/Customers.tsx
dashboard.customers.enterReason,Enter reason,src/app/pages/dashboard/Customers.tsx
dashboard.customers.fullName,Full Name,src/app/pages/CustomerAccount.tsx; src/app/pages/dashboard/Customers.tsx
dashboard.customers.information,Information,src/app/pages/dashboard/Customers.tsx
dashboard.customers.loading,Loading customers...,src/app/pages/dashboard/Customers.tsx
dashboard.customers.loyaltyPoints,Loyalty Points,src/app/pages/CustomerAccount.tsx; src/app/pages/dashboard/Customers.tsx
dashboard.customers.manageDesc,Manage your customer relationships,src/app/pages/dashboard/Customers.tsx
dashboard.customers.namePlaceholder,John Doe,src/app/pages/dashboard/Customers.tsx
dashboard.customers.noOrdersYet,No orders yet,src/app/pages/CustomerAccount.tsx; src/app/pages/dashboard/Customers.tsx
dashboard.customers.orderHistory,Order History,src/app/pages/dashboard/Customers.tsx
dashboard.customers.orders,Orders,src/app/pages/dashboard/Customers.tsx
dashboard.customers.points,Points,src/app/pages/dashboard/Customers.tsx
dashboard.customers.searchPlaceholder,Search customers by name or email...,src/app/pages/dashboard/Customers.tsx
dashboard.customers.totalSpent,Total Spent,src/app/pages/dashboard/Customers.tsx
dashboard.faqs.activeVisibleOnSite,Active (Visible on site),src/app/pages/dashboard/CollectionsAdmin.tsx; src/app/pages/dashboard/FAQs.tsx
dashboard.faqs.allCategories,All Categories,src/app/pages/dashboard/Blog.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/Inventory.tsx
dashboard.faqs.answerPlaceholder,Write a detailed answer...,src/app/pages/dashboard/FAQs.tsx
dashboard.faqs.category,Category,src/app/pages/dashboard/Blog.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/Products.tsx
dashboard.faqs.deleteConfirm,Delete FAQ?,src/app/pages/dashboard/FAQs.tsx
dashboard.faqs.displayOrder,Display Order,src/app/pages/dashboard/FAQs.tsx
dashboard.faqs.manageDesc,Manage frequently asked questions and answers,src/app/pages/dashboard/FAQs.tsx
dashboard.faqs.order,Order,src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/ProductLines.tsx
dashboard.faqs.question,Question,src/app/pages/dashboard/FAQs.tsx
dashboard.faqs.questionPlaceholder,What is your return policy?,src/app/pages/dashboard/FAQs.tsx
dashboard.faqs.selectCategory,Select category,src/app/pages/dashboard/Blog.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/Products.tsx
dashboard.heroVisuals.deleteConfirm,Delete Hero Visual?,src/app/pages/dashboard/HeroVisuals.tsx
dashboard.heroVisuals.imageUrlPlaceholder,https://example.com/image.jpg,src/app/pages/dashboard/HeroVisuals.tsx
dashboard.heroVisuals.manageDesc,Manage the visuals for the hero section of your homepage,src/app/pages/dashboard/HeroVisuals.tsx
dashboard.heroVisuals.preview,Preview,src/app/pages/dashboard/HeroVisuals.tsx; src/app/pages/dashboard/Products.tsx
dashboard.heroVisuals.subtitlePlaceholder,Hand-picked from the Himalayas,src/app/pages/dashboard/HeroVisuals.tsx
dashboard.heroVisuals.titleOptional,Title (Optional),src/app/pages/dashboard/HeroVisuals.tsx
dashboard.heroVisuals.titlePlaceholder,Premium Green Tea,src/app/pages/dashboard/HeroVisuals.tsx
dashboard.inventory.action,Action,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.addBatch,Add Batch...,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.allCategories,All Categories,src/app/pages/dashboard/Blog.tsx; src/app/pages/dashboard/FAQs.tsx; src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.allProducts,All products,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.batchManagement,Batch Management,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.batchNumber,Batch Number,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.batchNumberPlaceholder,BATCH-001,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.costPrice,Cost Price,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.currentStockLevels,Current stock levels for all products,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.expiry,Expiry,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.expiryDateOptional,Expiry Date (Optional),src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.quantityHelp,"Quantity (positive to add, negative to remove)",src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/Products.tsx
dashboard.inventory.quantityHelpPlaceholder,"e.g., 50 or -10",src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/Products.tsx
dashboard.inventory.reason,Reason,src/app/pages/dashboard/Customers.tsx; src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/Products.tsx
dashboard.inventory.reasonPlaceholder,"e.g., Restock from supplier, Return, etc.",src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/Products.tsx
dashboard.inventory.received,Received,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.receivedDate,Received Date,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.reference,Reference,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.stockChange,Stock Change,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.stockStatusOverview,Stock Status Overview,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.supplier,Supplier,src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
dashboard.inventory.supplierOptional,Supplier (Optional),src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.supplierPlaceholder,Supplier name,src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
dashboard.inventory.trackBatchesDesc,Track inventory batches with expiry dates,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.trackDesc,Track and manage your tea inventory,src/app/pages/dashboard/Inventory.tsx
dashboard.inventory.value,Value,src/app/pages/dashboard/Inventory.tsx
dashboard.layout.admin,Admin,src/app/pages/dashboard/AdminUsers.tsx; src/app/pages/dashboard/DashboardLayout.tsx
dashboard.layout.adminAlt,Admin,src/app/pages/dashboard/AdminUsers.tsx; src/app/pages/dashboard/DashboardLayout.tsx
dashboard.layout.deleteNotification,Delete notification,src/app/pages/dashboard/DashboardLayout.tsx
dashboard.orders.addNotePlaceholder,Add a note...,src/app/pages/dashboard/Orders.tsx
dashboard.orders.amountColumn,Amount,src/app/pages/dashboard/Orders.tsx
dashboard.orders.courierPartner,Courier Partner,src/app/pages/dashboard/Orders.tsx
dashboard.orders.courierPartnerPlaceholder,Enter courier partner,src/app/pages/dashboard/Orders.tsx
dashboard.orders.createNewOrder,Create New Order,src/app/pages/dashboard/Orders.tsx
dashboard.orders.customerLabel,Customer,src/app/pages/dashboard/Analytics.tsx; src/app/pages/dashboard/Orders.tsx
dashboard.orders.customerName,Customer Name,src/app/pages/dashboard/Orders.tsx
dashboard.orders.discount,Discount,src/app/pages/dashboard/Orders.tsx
dashboard.orders.email,Email,src/app/pages/Contact.tsx; src/app/pages/CustomerAccount.tsx; src/app/pages/dashboard/AdminUsers.tsx; src/app/pages/dashboard/Customers.tsx; src/app/pages/dashboard/Orders.tsx; src/app/pages/dashboard/Settings.tsx
dashboard.orders.fullAmountIfEmpty,Full amount if left empty,src/app/pages/dashboard/Orders.tsx
dashboard.orders.grandTotal,Grand Total,src/app/pages/dashboard/Orders.tsx
dashboard.orders.initialStatus,Initial Status,src/app/pages/dashboard/Orders.tsx
dashboard.orders.internalNotes,Internal Notes,src/app/pages/dashboard/Orders.tsx
dashboard.orders.orderItems,Order Items,src/app/pages/CustomerAccount.tsx; src/app/pages/dashboard/Orders.tsx
dashboard.orders.orderNumber,Order Number,src/app/pages/dashboard/Orders.tsx
dashboard.orders.phone,Phone,src/app/pages/dashboard/Customers.tsx; src/app/pages/dashboard/Orders.tsx; src/app/pages/dashboard/Settings.tsx
dashboard.orders.productColumn,Product,src/app/pages/dashboard/Inventory.tsx; src/app/pages/dashboard/Orders.tsx; src/app/pages/dashboard/Products.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
dashboard.orders.qty,Qty,src/app/pages/dashboard/Orders.tsx; src/app/pages/dashboard/PurchaseOrders.tsx
dashboard.orders.refundAmountOptional,Refund Amount (optional),src/app/pages/dashboard/Orders.tsx
dashboard.orders.rejectReasonOptional,"Reject reason (sent to customer, optional)",src/app/pages/dashboard/Orders.tsx
dashboard.orders.selectCustomerPlaceholder,Select a customer…,src/app/pages/dashboard/Orders.tsx
dashboard.orders.selectProductPlaceholder,Select product…,src/app/pages/dashboard/Orders.tsx
